date,BBVACOL,BCOLOMBIA,BMC,BOGOTA,BVC,CARTON,CELSIA,CEMARGOS,CLH,CNEC,COLTEJER,CONCONCRET,CORFERIAS,CORFICOLCF,ECOPETROL,ELCONDOR,EMPAQUES,ENKA,EPSA,ESTRA,ETB,EXITO,FABRICATO,GASNATURAL,GEB,GRUBOLIVAR,GRUPOARGOS,GRUPOAVAL,GRUPOSURA,ISA,MINEROS,NUTRESA,OCCIDENTE,PAZRIO,PFAVAL,PFAVH,PFBBVACOL,PFBCOLOM,PFCARPAK,PFCEMARGOS,PFCORFICOL,PFDAVVNDA,PFGRUPOARG,PFGRUPSURA,PFVILLAS,PFVILLASCA,POPULAR,PROMIGAS,PROTECCION,TERPEL,TGLSC,VALSIMESA,VILLAS,TITAN,FAMILIA
2018-04-17,265.0,34500.0,742.0,69200.0,11309.94,5720.0,4620.0,9780.0,9500.0,9690.0,1015.0,976.0,1100.0,24400.0,2870.0,1135.0,14000.0,7.9,19240.0,140.0,400.0,16400.0,8.0,82340.0,2040.0,52500.0,19740.0,1245.0,38100.0,14380.0,2370.0,26420.0,38500.0,12.0,1230.0,3065.0,250.0,34080.0,5300.0,8500.0,22000.0,33000.0,17080.0,36500.0,4870.0,5358.99,278.0,7400.0,110000.0,12480.0,24980.0,3660.0,6100.0,,
2018-04-18,265.0,34700.0,742.0,68600.0,11359.99,5720.0,4615.0,9850.0,9390.0,9570.0,1015.0,975.0,1100.0,24400.0,2935.0,1135.0,14000.0,7.9,19240.0,140.0,398.0,16700.0,8.0,82340.0,2040.0,52500.0,19840.0,1240.0,38340.0,14700.0,2370.0,26560.0,38500.0,12.0,1240.0,3115.0,250.0,33940.0,5300.0,8400.0,22000.0,33200.0,17080.0,36640.0,4870.0,5358.99,278.0,7470.0,110000.0,12480.0,24980.0,3660.0,6100.0,,
2018-04-19,265.0,34900.0,742.0,69400.0,11259.9,5720.0,4615.0,9840.0,9150.0,9350.0,1015.0,977.0,1100.0,24000.0,3030.0,1145.0,14000.0,7.9,19240.0,140.0,397.0,16600.0,8.0,82340.0,2040.0,52500.0,19900.0,1245.0,38360.0,14840.0,2310.0,26840.0,38500.0,12.0,1245.0,3050.0,250.0,34300.0,5300.0,8400.0,22000.0,33280.0,16800.0,36620.0,4870.0,5358.99,278.0,7440.0,110000.0,12480.0,24980.0,3660.0,6100.0,,
2018-04-20,265.0,34200.0,742.0,68500.0,11309.94,5720.0,4600.0,9700.0,9240.0,9250.0,1015.0,952.0,1100.0,23700.0,3030.0,1145.0,14000.0,7.9,19240.0,140.0,393.0,16620.0,8.0,82340.0,2040.0,52500.0,19800.0,1245.0,38400.0,14880.0,2325.0,26520.0,38500.0,12.0,1245.0,3000.0,250.0,33760.0,5300.0,8300.0,22000.0,32800.0,16320.0,36620.0,4870.0,5358.99,278.0,7660.0,110000.0,12480.0,24980.0,3660.0,6100.0,,
2018-04-23,266.0,34280.0,742.0,69300.0,11259.9,5720.0,4585.0,9980.0,9130.0,9340.0,1015.0,952.0,1100.0,24000.0,3085.0,1145.0,14000.0,7.9,19240.0,140.0,400.0,16800.0,7.5,82340.0,2050.0,52500.0,20020.0,1245.0,38680.0,15100.0,2325.0,26500.0,38500.0,12.0,1250.0,3000.0,250.0,34400.0,5300.0,8310.0,22000.0,33000.0,16300.0,36560.0,4870.0,5358.99,278.0,7660.0,110000.0,12480.0,24980.0,3660.0,6100.0,,
2018-04-24,266.0,33880.0,742.0,69400.0,11259.9,5720.0,4580.0,9970.0,8900.0,9490.0,1015.0,942.0,1100.0,23900.0,3060.0,1120.0,14000.0,7.9,19240.0,140.0,413.0,16600.0,7.4,82340.0,2060.0,52500.0,20360.0,1240.0,38720.0,14500.0,2385.0,26820.0,38500.0,12.0,1240.0,2935.0,250.0,33400.0,5300.0,8300.0,21000.0,32700.0,16300.0,36120.0,4870.0,5358.99,278.0,7690.0,110000.0,12480.0,24980.0,3660.0,6100.0,,
2018-04-25,265.0,33160.0,742.0,69400.0,11259.9,5720.0,4600.0,9970.0,8680.0,9490.0,1015.0,945.0,1100.0,24100.0,3045.0,1120.0,14000.0,7.9,19240.0,140.0,412.0,16440.0,7.25,82340.0,2060.0,52500.0,19940.0,1240.0,38680.0,14900.0,2360.0,26840.0,38500.0,12.0,1240.0,2905.0,250.0,33060.0,5300.0,8280.0,21700.0,32980.0,16440.0,36480.0,4870.0,5358.99,278.0,7580.0,110000.0,12400.0,24980.0,3660.0,6100.0,,
2018-04-26,265.0,33500.0,742.0,69400.0,11259.9,5720.0,4580.0,9840.0,8640.0,9490.0,1015.0,945.0,1100.0,23500.0,3010.0,1120.0,14000.0,7.4,19240.0,140.0,407.0,16440.0,8.4,82340.0,2055.0,52500.0,19880.0,1225.0,38760.0,14640.0,2325.0,26760.0,38500.0,12.0,1235.0,2880.0,250.0,33160.0,5300.0,8280.0,21000.0,32700.0,16560.0,36860.0,4870.0,5358.99,278.0,7600.0,110000.0,12400.0,24980.0,3660.0,6100.0,,
2018-04-27,266.0,34000.0,742.0,69400.0,11259.9,5720.0,4635.0,9820.0,8850.0,9350.0,1015.0,965.0,1100.0,23840.0,3070.0,1120.0,14000.0,7.4,19240.0,140.0,415.0,16780.0,8.11,82340.0,2060.0,52500.0,20120.0,1245.0,38980.0,14400.0,2300.0,26820.0,38500.0,12.0,1245.0,2920.0,250.0,33700.0,5300.0,8250.0,21000.0,33280.0,16500.0,36460.0,4870.0,5358.99,278.0,7600.0,110000.0,12300.0,24980.0,3660.0,6100.0,,
2018-04-30,266.0,33200.0,742.0,69500.0,11259.9,5720.0,4630.0,9930.0,8660.0,9170.0,1015.0,960.0,1100.0,24160.0,3100.0,1120.0,14000.0,7.4,19240.0,140.0,413.0,16960.0,8.11,82340.0,2060.0,52500.0,20000.0,1245.0,38980.0,14480.0,2300.0,27200.0,38500.0,12.0,1235.0,2920.0,250.0,33300.0,5300.0,8250.0,21000.0,33760.0,16600.0,36500.0,4870.0,5358.99,278.0,7400.0,110000.0,12480.0,24980.0,3660.0,6000.0,,
